Split Number,mean_squared_error,mean_absolute_error,mean_absolute_percentage_error,max_error
0,0.16042854476758914,0.29184939090072026,0.008816545202357341,0.7895010269149196
1,0.15570356716673886,0.29274412658931853,0.008787446380918381,0.7812553282330441
2,0.15806508248615117,0.29129738163951424,0.008848939534726052,0.7872353616723586
3,0.15914957149589926,0.29367199034460023,0.009202711619634941,0.7967396480168105
4,0.15743117623476346,0.29249932220407404,0.008869046251636759,0.8004671124727878
5,0.16194425929057515,0.29100080390320887,0.008988152498915903,0.7660345554921406
6,0.16286918331651823,0.29289582462509905,0.008749197602582503,0.7861024789824285
7,0.15885794997418826,0.2919873679161048,0.008978081940957559,0.7840179297569421
8,0.155851497385233,0.29156164442692506,0.008947947256948823,0.8113384648394089
9,0.16034094433798046,0.29133147568397616,0.008886452208348512,0.778526890681988
10,0.15864946940200061,0.2924090679574796,0.008804346185171454,0.7939927660984694
11,0.15982039184544644,0.292079432977371,0.008912370777577824,0.7875331503455527
12,0.16180695703335268,0.29218603169263724,0.008961044202675638,0.783701013885377
13,0.16258124660911688,0.2919074612725796,0.008726539561710935,0.7801012286160898
14,0.16235619219913622,0.2941035795116454,0.0091213903215086,0.7912642376952306
15,0.15520023340021516,0.29055393069108615,0.008698742146549898,0.7917832087240555
16,0.15954503890824775,0.2921058462293958,0.008992572390408217,0.7833574921528168
17,0.15985189381324305,0.291790527927579,0.008786454407333359,0.7764373265846558
18,0.15642230238017676,0.29306819471562473,0.008846393929297336,0.7891646103613681
19,0.16275452608169372,0.2925004913093652,0.008919220077419661,0.7877157193087072
20,0.1566416546205727,0.2916568774227169,0.008896820888956778,0.7917712104792685
21,0.1612498863167245,0.2919348980545899,0.008948670365319582,0.7888118246806926
22,0.15645591652551358,0.29150923201485385,0.009028029384779293,0.8053459098821492
23,0.15610433768416596,0.2915250761869628,0.008963541509798915,0.799858226322371
24,0.1629788828214037,0.2931324178746912,0.009044787805474538,0.7807950686130454
25,0.15948635487316953,0.29124529251439774,0.008904709259734755,0.7935059979405565
26,0.1582868090947242,0.2922942745268016,0.0087523208695909,0.787258977367145
27,0.15845730999633545,0.29049665430322835,0.009033244057574068,0.781891117223779
28,0.15747719761917164,0.29274455183380454,0.008981426611881158,0.792465020979165
29,0.16278673854427858,0.29267848266633073,0.008904432541806229,0.7928799201483656
30,0.1597215626687018,0.29351164069485347,0.008853451159214301,0.7837222401412731
31,0.15426006402045694,0.2917041728444757,0.009015897981003737,0.7888765145656862
32,0.15865253785510022,0.29348795361934427,0.00915115974658537,0.7990906608764874
33,0.15403188518600028,0.29306892315303107,0.009048000256554774,0.8050512382939701
34,0.16255280546734582,0.29329220741404466,0.008760330854051111,0.7853290127699495
35,0.15882158909662544,0.29190996509747996,0.008846598413841935,0.7818816789023941
36,0.1644904668381348,0.292071023678917,0.008748941958927706,0.7844504311100735
37,0.1627455299695683,0.29242974223381635,0.008898510471329935,0.7710077305582104
38,0.15923476404535258,0.29122672093873203,0.008850639799561582,0.7872479866535116
39,0.15710276136730356,0.2904298657367295,0.008886432206700717,0.7886616602016545
40,0.15634757729190182,0.2923904869249498,0.009005768105932866,0.8000674596478632
41,0.15861822518417276,0.29209048248501346,0.008981726073332709,0.7868273196314561
42,0.160628083144391,0.29241698165319713,0.008819719078274531,0.7806233685933677
43,0.15900823625689128,0.2905350570017736,0.008589681161820108,0.7879968865063773
44,0.15723626750641467,0.2914863411157632,0.008849495999396698,0.7938951104080161
45,0.1591398062204974,0.29216376439781383,0.008810165375238264,0.7880833296594716
46,0.16044305699114103,0.2918687326088523,0.008854668084966677,0.772219633514851
47,0.1591853601099649,0.29100188993478254,0.008782696193784122,0.7966208127912324
48,0.1542842244249115,0.29155357912486995,0.008890364162246981,0.8034537562436128
49,0.15699309627783156,0.29208549142658247,0.008898238156622886,0.7961850031579445
