,mean_squared_error,mean_absolute_error,mean_absolute_percentage_error
0,1.3983173937421666e-06,0.0006371399061497238,1.2913338496139108e-05
1,1.335207607186346e-06,0.0006249481677984074,1.2929092992234877e-05
2,1.3184948693882698e-06,0.0006183454581555289,1.3007921408269747e-05
3,1.360056603226103e-06,0.0006267023549458313,1.2977697733329673e-05
4,1.3443732219129947e-06,0.0006228493913201317,1.2907917441403186e-05
5,1.3216192543458333e-06,0.0006183562519572367,1.2737264459493745e-05
6,1.3506137829523389e-06,0.0006215325103765969,1.2678716541014893e-05
7,1.3448591732175323e-06,0.0006242476684711133,1.3086639818067955e-05
8,1.4021780931712755e-06,0.0006264284321467491,1.3019147349768141e-05
9,1.3262602606239384e-06,0.0006223935577227894,1.2991450954704041e-05
10,1.2892958772502667e-06,0.0006214307623535689,1.3137695063046815e-05
11,1.3267961207764538e-06,0.0006214944011459852,1.3001377758333167e-05
12,1.3589705152953368e-06,0.0006247717993739146,1.2729497172947154e-05
13,1.325398588891555e-06,0.0006277274614402556,1.2897072187323493e-05
14,1.308479455357972e-06,0.0006245920244645406,1.310943578727873e-05
15,1.3198966497593276e-06,0.0006297101895446394,1.285665552611702e-05
16,1.3384577049742398e-06,0.000629089821452983,1.3099588473418547e-05
17,1.3075363160868702e-06,0.0006233350174370423,1.3121148861875443e-05
18,1.333396507165719e-06,0.000627632787918246,1.3290729531109945e-05
19,1.31609496821951e-06,0.0006267114502761066,1.3089439107021194e-05
20,1.3643991245207148e-06,0.0006319500399700286,1.3043997509635985e-05
21,1.3456996782058538e-06,0.0006244389668214806,1.305702429192366e-05
22,1.2863633057215764e-06,0.0006131369858052006,1.3011013076986183e-05
23,1.3660676184109204e-06,0.0006261042773146781,1.2974313044829862e-05
24,1.3366127494525848e-06,0.0006224007011300644,1.300404313477164e-05
25,1.3245909255095062e-06,0.0006251236505888436,1.2956764023464809e-05
26,1.333739511452728e-06,0.0006209001656456007,1.2808069740860615e-05
