Split Number,mean_squared_error,mean_absolute_error,mean_absolute_percentage_error
82,1.3697606567468597e-06,0.0006290945646906392,1.2957814296952196e-05
83,1.313567040384744e-06,0.0006262133566879339,1.3076340184892559e-05
84,1.300543720199124e-06,0.0006189221206384649,1.3045883188770305e-05
85,1.3132339792239448e-06,0.0006173755336091408,1.2807605534216158e-05
86,1.312341039129578e-06,0.0006159778677848111,1.2660723613589046e-05
87,1.3398135109523585e-06,0.0006213456761926778,1.2999743456642017e-05
88,1.3259879466524822e-06,0.0006220316154654182,1.2833018458224909e-05
89,1.3605094103441277e-06,0.0006270106250175704,1.2977627079248475e-05
90,1.3023295141029381e-06,0.000621968562073023,1.2940930225568916e-05
91,1.2925887360384315e-06,0.0006163146298366875,1.28806564353692e-05
92,1.3439298848521735e-06,0.0006262497977206727,1.2901505214843958e-05
93,1.3451259184118376e-06,0.0006253377077220639,1.294640687919785e-05
94,1.3217243166284433e-06,0.0006302369061311443,1.3088146994006045e-05
95,1.3509307995816724e-06,0.0006273230702949481,1.3239793395746257e-05
96,1.3059250833802152e-06,0.000620612084121618,1.2875452812884083e-05
97,1.3305911645118035e-06,0.0006253739135690428,1.301021776648979e-05
98,1.3252736932678066e-06,0.0006178459513628785,1.29095914536673e-05
99,1.3189077767174477e-06,0.0006174856090728211,1.2838122571322237e-05
100,1.3375336624250691e-06,0.0006276742559184569,1.3033844249366695e-05
101,1.359639012288404e-06,0.0006299458579739322,1.2896144515366296e-05
102,1.365181915706001e-06,0.0006268725586624219,1.3018504347964523e-05
103,1.3448491431435942e-06,0.0006181622587377437,1.2662937955051208e-05
104,1.308144893298493e-06,0.0006212896244838218,1.288762148630632e-05
105,1.3242209732430562e-06,0.0006210336555989569,1.2841317168952363e-05
106,1.3397969343172434e-06,0.0006248788699966442,1.2958642943902452e-05
107,1.3274491219334364e-06,0.0006258552158249472,1.2980793448830131e-05
108,1.3341239949372355e-06,0.000624761258923693,1.2857707592773897e-05
109,1.299905786800193e-06,0.0006223220106438105,1.3118382567284169e-05
110,1.311654908814175e-06,0.000621572652305177,1.29563748516079e-05
111,1.3649760395547283e-06,0.0006217927368187882,1.2724460520949034e-05
112,1.3449638542018323e-06,0.0006213037223196448,1.278610423135359e-05
113,1.3413647970094843e-06,0.000622386923966816,1.2958264020507209e-05
114,1.3033626749116173e-06,0.0006227007877777484,1.3076171091427406e-05
115,1.3403844117512778e-06,0.0006299873179835117,1.2809808744331579e-05
116,1.324917815118185e-06,0.000624133489488869,1.2817776265139065e-05
117,1.3638908335605315e-06,0.0006220552902350477,1.2825552754404997e-05
118,1.3260604590694935e-06,0.0006271102549638084,1.3142828061027345e-05
119,1.305300178938237e-06,0.0006210391145731531,1.305872338037445e-05
120,1.325486809310986e-06,0.0006231223681460303,1.2909574819585344e-05
121,1.3260540847003986e-06,0.0006250062411107995,1.3034871871100816e-05
122,1.3235431571657564e-06,0.000625195998723317,1.2955096943047384e-05
123,1.3058554184590918e-06,0.0006245165638608216,1.3008446466565026e-05
124,1.3468630015179718e-06,0.0006253023728655287,1.3010864432179077e-05
125,1.3211354667986795e-06,0.0006210517756737671,1.301084932030073e-05
126,1.2950994933080272e-06,0.0006201497439108252,1.289580856958351e-05
127,1.3337799687908192e-06,0.0006218666988880339,1.2836211585569929e-05
128,1.3172898070276608e-06,0.0006187658858635369,1.2880157263314356e-05
129,1.3182559636997426e-06,0.0006180604475958863,1.2840534809132956e-05
130,1.3164549694435573e-06,0.0006249200972711084,1.3068637348132281e-05
131,1.3034706905551603e-06,0.0006202557063690553,1.2998289638604502e-05
132,1.324307716164009e-06,0.0006177196505971339,1.2624272068409454e-05
133,1.3297313551902248e-06,0.0006260582307670081,1.2895201232442211e-05
134,1.3338427773315004e-06,0.0006256769270033232,1.2814960533795758e-05
135,1.3109474275395234e-06,0.000622786160177384,1.3206438387651772e-05
136,1.311119915733248e-06,0.0006247622673655043,1.2885599377971564e-05
137,1.3415634799993146e-06,0.0006237291928382898,1.2819970334308492e-05
